Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
11530,Mature,Fair,No,,9692.95,279.5,8.4,67.7
10670,Mature,Good,No,,17127.12,426.7,12.3,352.1
45544,Middle aged,Good,No,,1268.68,16.5,1.8,13.7
14302,Middle aged,Good,No,,1288.81,33.9,2.8,24.8
58601,Juvenile,Good,No,,269.7,,,
48647,Juvenile,Fair,No,,258.91,1.6,0.5,3.5
54613,Middle aged,Fair,No,,3236.42,81.1,3.6,42.5
4944,Middle aged,Fair,No,,27185.9,625.5,11,112.6
10116,Mature,Good,No,,62139.2,1228.8,22.9,912.6
46475,Mature,Good,No,,31905.68,1233.9,22.9,381.7
49828,Middle aged,Good,No,,1093.91,8.6,1.4,12.6
12470,Middle aged,Good,No,,4510.85,182.2,8,173.2
16085,Middle aged,Fair,No,,1380.87,39,2.7,41.3
3492,Middle aged,Fair,No,,9353.25,255.4,8.1,389.1
37982,Mature,Good,No,,2494.19,45.1,3.3,20.6
10633,Mature,Fair,No,,16708.55,402.8,9.1,300.3
3631,Mature,Fair,No,,27185.9,625.5,11,470.2
20181,Mature,Good,No,,15979.27,334.3,8.6,347.7
19132,Mature,Good,No,,49546.31,2040,30.7,412.9
52620,Mature,Fair,No,,21576.12,631.7,12.6,407.9
44888,Middle aged,Good,No,,1242.78,23.3,2.2,47
13944,Mature,Fair,No,,12411.54,373.5,11.3,334.1
18571,Middle aged,Fair,No,,2013.77,80.3,4.4,67.7
9723,Not Applicable,Fair,No,,14507.78,302.5,8.9,199.7
8451,Mature,Good,No,,13808.71,380,11.4,170.7
47447,Middle aged,Fair,No,,2876.82,29.5,2.3,61.6
14006,Mature,Dead,Yes,"Dead, dying",6628.18,201,7.9,94.2
10715,Mature,Fair,No,,41089.55,1341.4,19.4,379.2
13316,Middle aged,Fair,No,,12082.63,364.5,9.9,111.9
10647,Mature,Fair,No,,17127.12,364.1,8.6,161.4
57795,Juvenile,Good,No,,97.09,,,
59940,Middle aged,Good,No,,1044.28,,,
59009,Mature,Fair,No,,2876.81,,,
52500,Middle aged,Good,No,,4641.26,47,3.3,35.1
2504,Not Applicable,Fair,No,,18874.78,772.2,15.4,265
59356,Mature,Poor,No,,8630.45,,,
