Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
55125,Juvenile,Good,No,,115.07,1.6,0.5,5.7
59429,Middle aged,Fair,No,,7518.08,,,
18254,Mature,Fair,No,,20419.63,426.4,8.8,215.2
27155,Mature,Fair,No,,21447.74,448.3,9.6,379.1
41326,Juvenile,Good,No,,524.3,9.9,1.4,12.8
5354,Middle aged,Fair,No,,14619.98,381.9,10.1,223.6
40482,Middle aged,Good,No,,0,,,
47953,Middle aged,Fair,No,,194.18,4.3,0.8,12.6
4274,Mature,Fair,No,,16681.57,351.7,7.9,40.2
3481,Mature,Fair,No,,51740.6,1639.6,24.2,652.3
51230,Middle aged,Fair,No,,2078.5,33.4,2.4,28.7
49782,Juvenile,Good,No,,258.91,4.3,0.9,3.5
49480,Middle aged,Not applicable,No,,2494.19,49.9,3,18.9
58554,Juvenile,Good,No,,115.07,,,
1738,Mature,Good,No,,47971.79,840.2,14.6,899
11398,Mature,Fair,No,,9692.95,295.9,8.1,85.3
10503,Middle aged,Fair,No,,1268.68,70.1,4.1,63.4
10824,Mature,Good,No,,2494.19,32.3,1.8,50.2
57336,Juvenile,Good,No,,528.62,,,
11711,Mature,Good,No,,58031.12,1306.5,18.8,559.6
17355,Mature,Good,No,,35953.35,1382.4,24.4,428
3793,Mature,Good,No,,17873.12,497.3,13.4,327.2
59602,,,No,,,,,
17471,Middle aged,Good,No,,10485.99,160.6,4.3,385.5
50476,Mature,Poor,No,,5825.55,179.1,6.5,60.8
57509,Juvenile,Good,No,,153.43,,,
35019,Mature,Fair,No,,6291.6,,,
53208,Juvenile,Good,No,,783.21,8.4,1.3,23.6
51161,Juvenile,Good,No,,239.74,2.4,0.6,11.6
46030,Middle aged,Good,No,,3568.15,35.5,2.5,42.5
2526,Mature,Fair,No,,18706.49,583,13.1,206.7
7729,Mature,Good,No,,2589.13,67.9,4.1,32.9
37337,Middle aged,Good,No,,1879.52,22.4,2.1,24.7
57200,Juvenile,Good,No,,172.61,1.4,0.5,3.2
01100505_1,Juvenile,Good,No,,172.61,,,
46144,Middle aged,Good,No,,1558.87,54,3.9,50.8
59959,,,No,,,,,
45122,Mature,Fair,No,,24165.25,950.9,15.9,292.4
51327,Juvenile,Fair,No,,258.91,2.5,0.6,3.8
40775,Middle aged,Fair,No,,414.26,7.4,1,142.6
8347,Middle aged,Fair,No,,9398.56,204,6.6,182.3
44760,Juvenile,Poor,No,,138.09,1.1,0.4,4
26239,Middle aged,,No,,6068.29,73.5,3.4,42.5
8475,Middle aged,Fair,No,,1456.39,39.8,2.9,71.7
52228,Juvenile,Good,No,,699.07,4.4,0.9,3.5
21388,Mature,Good,No,,59071.09,1698.5,28.7,539.7
40293,Middle aged,Fair,No,,233.02,4.3,0.8,21.9
13518,Middle aged,Good,No,,15534.8,148.1,6.6,340.3
55782,Juvenile,Good,No,,422.9,2.7,0.7,9.9
46014,Middle aged,Fair,No,,1585.85,16.2,1.5,34.4
14606,Mature,Good,No,,14184.62,443.7,12.5,352.2
14502,Mature,Good,No,,40242.69,1472.2,25.4,929
21575,Mature,Poor,No,,6961.9,449.9,11.2,218.9
11662,Mature,Fair,No,,5482.49,272,9,35.1
17871,Mature,Good,No,,38521.46,1326.3,23.9,929
56659,Juvenile,Good,No,,239.74,2.4,0.6,8.9
42183,Middle aged,Good,No,,3883.7,67.2,4.1,18.3
926,Middle aged,Good,No,,6048.5,78.6,4.4,178.3
10830,Mature,Good,No,,24535.28,554.2,11.5,162.2
1051,Mature,Fair,No,,32894.95,625.5,11,220.8
32383,Middle aged,Fair,No,,1093.91,27.6,2.4,44.4
47912,Middle aged,Good,No,,552.35,5,0.9,24.7
11429,Mature,Fair,No,,14619.98,356.6,8.4,82.5
18705,Middle aged,Good,No,,10939.1,351.6,10.9,232.8
4331,Mature,Fair,No,,13592.95,466.7,10.7,145.7
59841,Juvenile,Good,No,,64.73,,,
49520,Middle aged,Good,No,,8293.86,160.2,6.9,128.8
38431,Middle aged,Good,No,,1044.28,16.2,1.8,47.5
27194,Middle aged,Fair,No,,8293.86,221.4,7,146.6
41282,Middle aged,Fair,No,,1747.67,62.1,3.8,20.6
59073,Not Applicable,Dead,No,,970.93,,,
45254,Middle aged,Good,No,,719.2,12.3,1.5,33.7
45347,Middle aged,Fair,No,,2423.24,54,3.2,58.5
9596,Middle aged,Fair,No,,9786.92,226.5,6.1,29.5
55390,Middle aged,Fair,No,,345.22,4.7,0.8,12.5
2551,Mature,Fair,No,,18879.1,406.9,8.6,220.8
19518,Mature,Fair,No,,132909.95,4741.2,30.2,1578.6
15492,Mature,Fair,No,,3171.69,67.9,3.7,44.5
21345,Mature,Fair,No,,21576.12,622.4,15,307.2
10189,Mature,Good,No,,62139.2,1995.1,30.4,938.9
4857,Mature,Good,No,,13321.09,269.7,7.6,109
59119,Middle aged,Poor,No,,3171.69,,,
19222,Middle aged,Fair,No,,1268.68,12.8,1.4,31
3365,Mature,Fair,No,,32894.95,1215.1,20.1,205
2375,Mature,Fair,No,,3132.85,86.9,4.3,77.2
59008,Middle aged,Good,No,,3480.95,,,
29517,Mature,Fair,No,,24535.28,554.2,10.2,276.7
52580,Middle aged,Good,No,,1903.01,3.8,0.8,16.3
15913,Mature,Fair,No,,14020.16,313.9,9,81
4747,Mature,Fair,No,,23681.94,406.9,8.6,142.9
37114,Mature,Fair,No,,2589.13,82.6,4.4,76
11048,Mature,Fair,No,,4838.09,233.7,8.3,161.6
14409,Middle aged,Fair,No,,7364.65,183.3,6.6,242.2
7842,Mature,Good,No,,89480.46,3153.2,39.9,1607.8
59604,,,No,,,,,
45566,Mature,Good,No,,4495.03,137.7,6.9,216.9
55547,Juvenile,Good,No,,153.43,0.9,0.3,4.7
35029,Mature,Good,No,,3171.69,75.6,4.4,30.1
55281,Juvenile,Good,No,,115.07,1.4,0.4,2.6
21449,Middle aged,Fair,No,,863.04,12.8,1.3,16.6
10444,Middle aged,Good,No,,4177.14,92.8,4.9,77.2
21739,Mature,Good,No,,9515.06,489.5,14.3,199.5
42041,Middle aged,Good,No,,1380.87,,,
3371,Mature,Good,No,,18262.02,506.7,13.5,229.1
38317,Mature,Fair,No,,2854.52,76.3,3.9,25.4
34223,Middle aged,Good,No,,469.88,5.4,1,11.6
40323,Juvenile,Fair,No,,161.82,2.7,0.6,9.9
30321,Mature,Good,No,,44740.23,1058.6,16.7,450.6
48604,Juvenile,Good,No,,414.26,4.3,0.9,21.9
27226,Mature,Fair,No,,9692.95,334,8.8,142.9
12165,Mature,Good,No,,5523.49,215.6,8.9,82.4
20462,Middle aged,Good,No,,6041.31,182.9,7,76.2
54748,Middle aged,Fair,No,,783.21,16,1.6,14.4
51940,Middle aged,Fair,No,,475.76,2.3,0.5,2.8
37959,Middle aged,Good,No,,1747.67,62.1,4.3,67.7
41672,Juvenile,Fair,No,,233.02,,,
16395,Mature,Fair,No,,4177.14,83.6,4.2,31.6
54621,Middle aged,Fair,No,,3145.8,81.1,3.6,42.5
1386,Mature,Fair,No,,11283.82,345.2,9.6,173
47467,Juvenile,Fair,No,,3916.07,69.9,3.8,173.8
15596,Juvenile,Good,No,,5505.15,87.1,4,109
3574,Mature,Fair,No,,7759.73,187.3,6.7,128.8
45009,Mature,Good,No,,1553.48,5.2,0.1,50
2789,Middle aged,Good,No,,2336.69,52.8,4.1,71.1
19272,Mature,Fair,No,,30931.52,1169.3,19.7,220.8
4230,Mature,Good,No,,41352.78,1399.8,24.6,594.5
52328,Juvenile,Good,No,,613.72,3.4,0.8,14.6
40434,Middle aged,Good,No,,5443.66,198.5,8.4,149.5
53019,Mature,Fair,No,,12583.19,224.1,6.4,187.6
41164,Juvenile,Fair,No,,414.26,7.5,1,13.7
58653,Mature,Good,No,,14768.85,,,
47463,Middle aged,Good,No,,2621.5,35.9,2.9,41.2
20524,Mature,Fair,No,,8285.23,169.1,5.4,83
30330,Mature,Fair,No,,10904.57,213,5.9,277.7
13384,Mature,Fair,No,,30931.52,755.4,12.2,112.6
52018,Juvenile,Good,No,,460.29,2.4,0.6,8.6
52489,Middle aged,Good,No,,2854.52,61.4,4.3,82.4
45065,Middle aged,Fair,No,,503.44,7.4,1,37.1
13828,Middle aged,Good,No,,11223.89,221.2,7.3,356.1
38244,Juvenile,Good,No,,271.85,1.4,0.5,8.9
11688,Mature,Fair,No,,16781.42,653.9,13,368.2
48222,Mature,Good,No,,850.82,14.4,1.6,47.5
5211,Mature,Fair,No,,4233.95,182.2,7.1,122.4
12521,Mature,Fair,No,,1294.57,40.7,2.9,29.3
6666,Mature,Good,No,,36463.63,1387.2,24.4,575.4
40439,Middle aged,Good,No,,1035.65,14.5,1.8,19.1
32710,Middle aged,Fair,No,,3068.6,32.7,2.5,66.7
18848,Mature,Good,No,,87626,2765.2,36.9,722.4
2445,Mature,Fair,No,,15224.1,347.4,9.6,232.1
6512,Middle aged,Fair,No,,10904.57,326.5,9.3,294.9
4422,Mature,Fair,No,,29028.5,675.8,11.5,416.8
56738,Juvenile,Good,No,,1941.85,6.4,1,35.2
44803,Middle aged,Good,No,,3452.18,39.5,3,39.3
12232,Mature,Good,No,,24535.28,849.1,18.2,240.3
56301,Middle aged,Dead,No,,1553.48,,,
3267,Middle aged,Good,No,,11683.47,236.4,8.6,305.7
2072,Mature,Fair,No,,12411.54,425.3,10,74.4
38437,Juvenile,Fair,No,,1456.39,39.8,2.9,29.3
13181,Mature,Fair,No,,8729.69,142.1,4.7,49.3
53800,Juvenile,Good,No,,179.8,2.4,0.6,3.8
514,Middle aged,Good,No,,6804.57,103.7,4.4,164.9
54552,Mature,Fair,No,,2589.13,65.8,3.6,31.6
26422,Mature,,No,,2330.22,,,
35069,Middle aged,Good,No,,3646.36,79.5,5,71.1
23622,Mature,Fair,No,,6628.18,252.3,8.6,144.4
4322,Mature,Fair,No,,73489.32,2340.7,29.8,439.6
1592,Mature,Good,No,,26287.8,801.4,17.8,471.2
59512,Juvenile,Fair,No,,179.8,,,
13249,Middle aged,Good,No,,2589.13,79.5,5,47.5
11765,Mature,Good,No,,25253.76,749.8,18.5,285.4
882,Mature,Good,No,,30132.72,1067,17.6,189.8
10694,Mature,Poor,No,,16681.57,301,7.2,15.9
22275,Middle aged,Good,No,,7281.95,122,4.8,277.7
1298,Middle aged,Good,No,,15534.8,273.7,8.1,183.5
49611,Middle aged,Good,No,,436.92,2.4,0.6,12.6
55661,Juvenile,Good,No,,153.43,1.8,0.5,3.7
59689,Not Applicable,Not applicable,No,,2022.76,,,
38977,Middle aged,Good,No,,776.74,22.7,2.4,29.6
48171,Middle aged,Good,No,,1093.91,14.5,1.8,29.6
40692,Middle aged,Fair,No,,719.2,12.5,1.4,11.6
14136,Middle aged,Fair,No,,4838.8,139.1,5.6,89.8
2905,Middle aged,Fair,No,,5834.18,136.2,5.3,76.3
12941,Mature,Good,No,,5834.18,105.9,5.3,35.1
4120,Mature,Fair,No,,14203.79,460,10.5,346.7
34438,Not Applicable,Good,No,,0,,,
19580,Mature,Good,No,,41021.59,675.8,12.9,783.1
54020,Not Applicable,Fair,No,,269.7,2.4,0.5,9.9
6060,Mature,Fair,No,,10209.82,336.4,9.4,60.8
59894,Juvenile,Good,No,,179.8,,,
55245,Juvenile,Good,No,,161.82,1.4,0.5,3.5
18184,Middle aged,Fair,No,,8222.9,245.4,7.8,107.4
56375,Juvenile,Good,No,,269.7,1.8,0.4,12.5
6128,Middle aged,Fair,No,,1044.28,7.4,1.1,11.6
59194,Juvenile,Good,No,,179.8,,,
22424,Mature,Fair,No,,15787.96,986.7,19.2,157.7
20931,Middle aged,Fair,No,,10572.3,257,8.1,206.7
19622,Mature,Good,No,,6265.7,272,10.1,60.8
21668,Mature,Fair,No,,103005.45,3673.6,37.3,747.4
22403,Mature,Good,No,,6911.55,233.7,9.4,118.6
18469,Middle aged,Good,No,,1691.57,33.6,2.7,53.6
12263,Mature,Good,No,,34953.31,592.4,12.8,494.4
51346,Mature,Good,No,,12462.37,283.4,9,238.6
14559,Mature,Good,No,,22020.58,749.3,17,258.9
51740,Juvenile,Good,No,,242.73,1.8,0.4,12.5
47034,Juvenile,Good,No,,388.37,3.7,0.8,10.3
14630,Mature,Fair,No,,6350.93,112.6,4.1,234.2
49631,Middle aged,Good,No,,783.21,18.7,2.1,64.1
46579,Middle aged,Good,No,,932.09,23.1,2.4,12.6
10455,Mature,Good,No,,21755.92,639.4,15.5,327.2
14255,Middle aged,Good,No,,1941.85,16.2,1.6,29.3
57897,Juvenile,Good,No,,172.61,,,
22360,Mature,Good,No,,4315.22,65.4,3.6,74
46164,Middle aged,Fair,No,,1747.67,62.1,3.8,40.5
2605,Mature,Good,No,,42477.98,1702.4,27.6,679.3
19117,Mature,Fair,No,,85790.95,2968.7,34.2,1161.6
3110,Mature,Fair,No,,5469.54,136.5,5.6,278.2
6181,Mature,Fair,No,,44895.58,840.2,13,444.5
155,Middle aged,Fair,No,,3383.14,74.8,3.9,59.5
56834,Middle aged,Fair,No,,1398.13,6.2,1,41.8
59023,Juvenile,Fair,No,,4757.54,,,
59549,,,No,,,,,
13875,Middle aged,Fair,No,,4375.64,124.9,5.3,50.1
38684,Middle aged,Good,No,,2610.71,101.3,5.7,29.5
56571,Juvenile,Good,No,,179.8,1.5,0.5,3.3
56325,Not Applicable,Fair,No,,0,,,
10767,Mature,Good,No,,5993.37,125.1,5.8,119.3
19282,Mature,Good,No,,23681.94,772.2,17.3,278.2
7497,Middle aged,Fair,No,,3452.18,,,
41006,Mature,Fair,No,,0,,,
6721,Mature,Fair,No,,32894.95,1242.6,20.4,470.7
27322,Middle aged,Good,No,,13962.98,378.5,9.9,236
45152,Juvenile,Good,No,,783.21,18.7,2.1,47.5
17317,Mature,Good,No,,11076.63,301.4,9.9,31.7
51354,Middle aged,Good,No,,786.46,10.1,1.3,51.5
22135,Mature,Good,No,,20227.61,645.9,15.6,499.6
59830,Middle aged,Good,No,,15577.96,,,
15828,Middle aged,Good,No,,7612.06,165.3,7.4,16.5
14182,Juvenile,Good,No,,64.73,0.7,0.3,4.1
21972,Mature,Good,No,,27185.9,577.4,11.8,416.8
47061,Middle aged,Fair,No,,1691.57,15.7,1.6,11.6
2156,Mature,Fair,No,,6651.2,314.6,9.6,136.8
51797,Middle aged,Fair,No,,2097.2,,,
14946,Mature,Fair,No,,14965.19,513.1,9.2,291
45574,Juvenile,Good,No,,161.82,2.4,0.6,2.6
54926,Juvenile,Good,No,,345.22,3.2,0.7,11.2
13415,Juvenile,Good,No,,2338.31,14.1,1.4,37
37178,Middle aged,Good,No,,4280.17,41.6,2.6,34.2
18683,Mature,Fair,No,,18733.1,1215.4,21.7,39.3
38302,Mature,Fair,No,,10385.3,386,11.2,406.2
50829,Middle aged,Good,No,,776.74,2.1,0.6,4.5
32598,Middle aged,Good,No,,1657.04,20.2,2.1,10.7
58443,Juvenile,Good,No,,153.43,,,
7611,Mature,Good,No,,2378.77,60.1,3.9,37.9
1620,Middle aged,Fair,No,,3480.95,68.7,3.6,85.9
2168,Mature,Fair,No,,16708.54,453.6,11.3,319.3
42207,Middle aged,Good,No,,2920.87,17,1.6,4.5
50211,Juvenile,Good,No,,469.88,6.9,1.1,24.7
10803,Mature,Good,No,,34241.3,725.2,10.8,427.1
16088,Mature,Good,No,,17459.39,549.1,10.7,357.9
48093,Middle aged,Good,No,,524.3,9.6,1.3,3
59250,Not Applicable,Dead,No,,0,,,
51104,Juvenile,Fair,No,,161.82,0.8,0.3,3.5
45080,Mature,Good,No,,4641.26,,,
3682,Mature,Good,No,,42468.27,1891.9,29.4,384.9
8702,Middle aged,Fair,No,,3568.15,52.6,2.7,76.2
26287,Mature,Fair,No,,4045.52,,,
50477,Middle aged,Fair,No,,3452.18,46.9,2.5,162.2
5880,Mature,Fair,No,,39147.71,1522.8,23.1,381.7
4757,Mature,Fair,No,,29930.38,840.2,13,399.6
13872,Mature,Good,No,,71492.45,2159.1,26.5,1507.6
8297,Middle aged,Good,No,,539.4,14.5,1.8,11.8
56372,Juvenile,Good,No,,179.8,2.4,0.6,10.7
40768,Middle aged,Good,No,,414.26,7.5,1.2,27.3
17794,Mature,Fair,No,,12995.54,412.2,10.6,256.4
5484,Mature,Good,No,,28040.32,840.8,16.7,442.7
32131,Mature,Fair,No,,10740.11,362.7,9.2,151.2
50023,Middle aged,Good,No,,1268.68,33.7,3,41.8
8633,Over Mature,Fair,No,,19573.85,702.2,14.6,619.9
37677,Juvenile,Good,No,,2589.13,80.3,5,60.8
13155,Middle aged,Fair,No,,911.59,19.1,1.8,33.7
56078,Juvenile,Good,No,,115.07,1.4,0.5,9.9
51735,Mature,Fair,No,,66281.82,2874,33.6,752
21710,Mature,Good,No,,43584.83,1304.7,23.6,982.3
27,Mature,Good,No,,13808.71,96.3,5,347.7
21776,Mature,Good,No,,17268.09,563.2,11.7,321.7
1942,Over Mature,Good,No,,23302.21,951.2,17.4,122.4
13044,Mature,Good,No,,25403.72,889.9,18.8,76.4
56097,Juvenile,Fair,No,,172.61,1.3,0.4,7.4
11709,Mature,Fair,No,,1044.28,15.5,1.6,52.4
5519,Mature,Good,No,,11223.89,163.9,5.7,220.8
7065,Mature,Good,No,,11968.27,523.5,15.1,240.3
976,Mature,Fair,No,,39769.1,865.8,16.6,460.3
43610,Juvenile,Good,No,,475.76,5.3,0.9,19.4
42121,Middle aged,Good,No,,1747.67,24.7,2.3,68.6
10435,Mature,Good,No,,19884.55,558.8,13.3,395.9
46772,Middle aged,Good,No,,524.3,4.2,0.8,3.3
8104,Middle aged,Good,No,,7364.65,222.5,7.8,135
7846,Mature,Good,No,,215555.09,5791.6,14.3,1057
57547,Juvenile,Good,No,,,,,
59641,Juvenile,Good,No,,10.79,,,
54859,Juvenile,Fair,No,,469.88,5.3,0.8,9.9
44586,Mature,Good,No,,13696.52,611,16.3,308.3
41244,Juvenile,Good,No,,179.8,2.4,0.6,8.6
13054,Mature,Good,No,,24535.28,853.4,18.3,111.9
21777,Middle aged,Good,No,,12306.48,321.5,10.4,301.6
49327,Middle aged,Fair,No,,870.23,16.2,1.6,10.7
233,Middle aged,Poor,No,,1879.52,33.6,2.4,33.1
41940,Middle aged,Fair,No,,911.59,28.1,2.4,47.5
4246,Mature,Fair,No,,31101.97,1093.3,19,794.9
9718,Mature,Fair,No,,14767.78,226.5,6.1,164.9
2367,Mature,Good,No,,15664.26,383.2,10,240.7
3196,Middle aged,Fair,No,,6766.27,166.3,5.9,151.2
35025,Mature,Fair,No,,652.67,15.7,1.6,9.9
39145,Juvenile,Good,No,,613.72,3.4,0.8,14.6
55516,Middle aged,Good,No,,2796.26,64,3.9,151
42381,Middle aged,Fair,No,,13126.91,199.9,6.6,242.2
54970,Juvenile,Good,No,,242.73,1.8,0.4,12.5
55247,Juvenile,Good,No,,103.57,1.4,0.5,3.5
48730,Middle aged,Fair,No,,2209.39,13.4,1.7,9.2
54994,Middle aged,Good,No,,2378.77,39.2,3.3,29.6
20855,Mature,Fair,No,,6068.29,110.1,4.4,228.9
53670,Juvenile,Good,No,,179.8,2.4,0.6,8.6
57612,Not Applicable,Not applicable,No,,0,,,
31899,Middle aged,Fair,No,,863.04,12.8,1.4,41.8
8740,Mature,Fair,No,,9976.79,231.7,7.6,133.2
12162,Mature,Good,No,,17459.39,759.4,14.1,339.9
47053,Middle aged,Fair,No,,1305.35,9.3,1.1,12.6
12487,Mature,Poor,No,,24535.28,519.8,10.5,473.4
18995,Mature,Fair,No,,34521.78,712.7,17.8,386.3
7337,Mature,Fair,No,,11486.04,226.5,6.1,297.6
4817,Middle aged,Good,No,,9397.59,273.6,9.4,216.4
3171,Middle aged,Fair,No,,5834.18,144.2,5.5,272.4
56609,Middle aged,Good,No,,19884.55,631.7,12.6,294.3
18736,Mature,Good,No,,27185.9,923.6,19.2,101.1
4659,Middle aged,Fair,No,,9692.95,196.6,6.5,76.2
15095,Mature,Good,No,,7482.59,292.5,10.6,232.8
6761,Mature,Fair,No,,22843.71,687,14.5,517.2
42114,Middle aged,Fair,No,,1870.64,54,3.5,12.6
51490,Middle aged,Good,No,,3806.03,53.1,3.6,77.2
799,Middle aged,Good,No,,8457.84,154.3,6.7,135.6
18789,Juvenile,Good,No,,239.74,3.2,0.7,11.2
15583,Mature,Fair,No,,8293.86,204,6.6,182.3
22531,Middle aged,Good,No,,12694.3,254.8,7.4,347.7
14219,Mature,Fair,No,,18879.1,491.8,11.8,275.3
49610,Juvenile,Good,No,,436.92,2.4,0.6,12.6
49177,Mature,Good,No,,1456.39,33,2.7,57.8
52659,Juvenile,Good,No,,233.02,4.3,0.9,3.5
54368,Juvenile,Good,No,,188.79,1.8,0.4,4.5
11536,Mature,Good,No,,11840.97,378.8,10.6,319.9
44758,Middle aged,Good,No,,1564.99,18.7,2.1,47.5
2332,Mature,Good,No,,46987.98,,,
6883,Middle aged,Good,No,,8738.33,208,8.7,113.9
1950,Mature,Good,No,,62535.13,2737.2,36.6,301.6
7535,Mature,Fair,No,,10209.82,,,
3236,Mature,Good,No,,24535.28,799,17.7,250.7
14200,Middle aged,Good,No,,2078.5,46.1,3.3,12.8
12687,Mature,Fair,No,,19641.82,880.9,16.6,87.5
26562,Middle aged,Good,No,,7832.13,245.7,8.3,344.6
2713,Veteran,Fair,No,,21212.55,466.9,9.3,167
50481,Middle aged,Good,No,,4794.7,127.5,5.1,85.9
1065,Mature,Good,No,,5825.55,149.3,6.5,66.8
6687,Mature,Good,No,,25891.34,1070.1,21.1,356.1
17864,Mature,Good,No,,31545.36,988.5,20.2,1057
13295,Mature,Fair,No,,21212.55,334.3,7.7,190.5
4647,Mature,Fair,No,,7759.73,229.9,7.1,56
34468,Middle aged,Good,No,,1367.39,17,1.6,69.1
60314,,,No,,,,,
59357,Mature,Fair,No,,67125.69,,,
4975,Mature,Good,No,,27065.08,717.3,15.2,445.2
28076,Mature,Fair,No,,1657.04,48.9,3.2,76
58341,Middle aged,Good,No,,3117.74,,,
53501,,,No,,,,,
21306,Middle aged,Good,No,,5834.18,114.1,5.4,119.3
18523,Mature,Good,No,,14767.78,243.9,7.5,140
3135,Mature,Fair,No,,27185.9,531.6,10,220.8
59530,Juvenile,Good,No,,1841.16,,,
51780,Juvenile,Good,No,,161.82,2.7,0.7,3.5
5252,Mature,Fair,No,,3521.23,101.3,5.1,55
49513,Mature,Good,No,,37159.46,2031.1,30.5,241.6
41137,Middle aged,Fair,No,,1398.13,18.9,1.6,44.4
4009,Mature,Good,No,,25166.38,608.9,13.8,422.2
22026,Mature,Good,No,,4177.14,82.8,4.6,16.6
22593,Mature,Fair,No,,8699.49,273.5,8.3,18.3
18556,Mature,Good,No,,87626,3046.7,39.2,1788.6
27483,Mature,Fair,No,,539.4,12.5,1.4,142.6
37154,Middle aged,Good,No,,4281.79,49.1,3.8,37
34246,Middle aged,Good,No,,647.28,12.8,1.6,12.8
44806,Middle aged,Good,No,,783.21,7.5,1.2,3
44799,Middle aged,Good,No,,6904.36,119,5.5,74.4
58173,Juvenile,Good,No,,153.43,,,
34278,Mature,Good,No,,6014.46,157,6.7,50.8
49179,Middle aged,Fair,No,,524.3,9.8,1.2,21.9
53423,Juvenile,Good,No,,258.91,4.3,0.9,12.6
18567,Mature,Good,No,,75516.4,2883.8,37.8,605
13349,Mature,Fair,No,,23336.73,674.9,13.2,504
59374,Juvenile,Good,No,,179.8,,,
10810,Mature,Good,No,,93247.65,3994.8,51,627.8
27127,Mature,Good,No,,4233.95,198.5,8.4,101.5
57209,Juvenile,Good,No,,179.8,2.7,0.7,9.3
13992,Middle aged,Good,No,,19884.55,476.5,11.6,438.7
54218,Not Applicable,Good,No,,115.07,1.4,0.5,3.6
10407,Mature,Fair,No,,13962.98,269.7,6.8,324.4
56526,Mature,Poor,No,,6482.42,2.1,0.5,11.3
57748,Juvenile,Good,No,,239.74,,,
17212,Middle aged,Good,No,,6911.55,166.3,6.7,151.2
2198,Mature,Good,No,,18134.72,197.6,5.1,265.9
12525,Middle aged,Fair,No,,1458.54,20.2,1.8,12.6
22377,Mature,Fair,No,,5394.03,134.9,5.3,263
01100529_1,Juvenile,Good,No,,172.61,,,
48801,Juvenile,Good,No,,64.73,0.8,0.4,3.2
59540,Juvenile,Fair,No,,64.73,,,
19090,Mature,Fair,No,,2220.19,74,3.9,17.3
54376,Juvenile,Good,No,,188.79,1.8,0.4,4.5
54715,Middle aged,Good,No,,1035.65,13.6,1.7,41.8
17880,Mature,Fair,No,,62657.04,1295.1,21,961.8
16105,Middle aged,Good,No,,13808.71,394.3,10.9,101.2
49477,Middle aged,Good,No,,1458.54,29.5,2.5,8.2
31959,Mature,Good,No,,3424.13,112.1,6.1,63.4
5617,Middle aged,Fair,No,,5834.18,127.9,5.2,244
31893,Middle aged,Good,No,,5136.19,69.9,4.2,68
28893,Mature,Fair,No,,4854.63,215.6,8,82.4
53823,Juvenile,Good,No,,161.82,1.4,0.5,2.6
55836,Juvenile,Good,No,,970.93,1.2,0.4,1
50589,Juvenile,Good,No,,215.76,2.4,0.7,4.5
480,Mature,Fair,No,,7257.13,131.8,4.5,244
1100228,Juvenile,Good,No,,153.43,,,
45507,Middle aged,Fair,No,,958.94,3,0.4,11.8
17080,Mature,Good,No,,18879.1,629.4,15.3,353.8
26971,Middle aged,Good,No,,15979.27,518.3,13.7,376.5
51388,Juvenile,Good,No,,469.88,1.8,0.5,3.7
22101,Mature,Fair,No,,28099.65,1009.7,18,225.4
41211,Middle aged,Fair,No,,3171.69,55.6,3.3,68
31727,Mature,Fair,No,,5262.66,183.5,6.4,64.8
53,Mature,Fair,No,,9746.65,419.5,10.8,126.4
38023,Mature,Good,No,,349.54,9.9,1.4,64.1
27506,Mature,Fair,No,,9845.18,240.4,6.3,40.2
59369,,,No,,,,,
57822,Juvenile,Good,No,,172.61,,,
44820,Middle aged,Good,No,,719.2,10.2,1.3,11.6
32535,Middle aged,Good,No,,2610.71,61.1,4.4,63.4
37329,Middle aged,Good,No,,932.09,19.9,2,24.8
11164,Mature,Good,No,,14020.16,285.5,8.4,402.2
18326,Middle aged,Good,No,,3883.7,46.9,2.8,40.2
50787,Middle aged,Good,No,,3132.85,101.3,5.7,81
12649,Mature,Fair,No,,21212.55,622.7,13.5,111.9
2728,Mature,Good,No,,220278.64,5946.1,11.2,3792.6
17994,Mature,Good,No,,12694.3,240.4,7.1,454.5
7120,Mature,Good,No,,9692.95,334,9.9,377.9
4858,Mature,Good,No,,5505.15,95.2,4.2,74.4
17987,Mature,Fair,No,,22843.71,446.3,9.1,162.2
59710,Middle aged,Fair,No,,5221.42,,,
551,Mature,Good,No,,15224.1,436.7,11.7,603.9
60291,,,No,,,,,
1789,Middle aged,Good,No,,2097.2,67.2,4.1,61.7
55612,Juvenile,Fair,No,,524.3,3.7,0.7,33.3
19049,Juvenile,Good,No,,9819.53,119.5,3.7,136.3
18310,Mature,Fair,No,,24535.28,554.2,10.2,86.7
39209,Mature,Good,No,,21576.11,633.9,15.5,381.7
16411,Mature,Fair,No,,6766.27,169.2,6,169.3
54089,Mature,Good,No,,10385.3,383.6,12.4,88.5
12610,Middle aged,Good,No,,3804.59,110.6,5.3,151
6430,Mature,Good,No,,34918.79,882.8,18.8,352.1
14227,Mature,Fair,No,,7257.13,131.8,4.5,15.9
32482,Middle aged,Good,No,,4660.44,52.6,3,96.1
21033,Mature,Good,No,,19884.55,269.8,6.5,202.5
55592,Mature,Fair,No,,1657.04,46.6,3.2,67.7
16373,Mature,Good,No,,28312.17,768.4,17.3,454.5
2152,Mature,Fair,No,,12411.54,458.5,11.4,330.2
57024,Juvenile,Good,No,,153.43,0.9,0.3,5.1
